US Bonds,US Equities,Int'l Equities,Commodities,US Tbill,Inflation
-0.0272,0.061,0.0462,0.0568,0.0104,0.0149
-0.0669,0.0031,-0.004,-0.0093,0.0106,0.0146
0.0053,-0.0987,-0.1188,-0.1625,0.0121,0.012
0.0992,0.0429,0.0864,0.0357,0.0137,0.0095
0,0.0562,0.0446,0.0573,0.0106,0.0095
0.0605,0.0296,0.06,0.0533,0.0066,0
-0.0195,0.0676,-0.005,0.0453,0.0064,0.0094
0,0.0131,0.0336,0.0158,0.0068,0.007
-0.0493,0.0281,0.0338,0.0529,0.0087,0.0092
-0.0113,0.0187,0.0404,0.0304,0.0091,0.0091
0,0.1095,-0.0206,-0.0141,0.0109,0.009
0.0271,-0.0315,0.0051,-0.0804,0.0125,0.0067
0,-0.0438,-0.0138,-0.0679,0.0128,0.0111
0,0.0208,-0.0134,-0.0299,0.0132,0.0066
0.0022,0.038,0.0349,-0.0017,0.0124,0.0066
-0.0346,-0.0213,0.0264,-0.0138,0.0113,0.0087
0,0.0062,-0.0439,0.0054,0.012,0.0086
0.033,-0.008,0.0071,-0.0678,0.0137,0.0107
-0.0211,7e-04,-0.0421,0.0435,0.0126,0.0085
-0.0198,-0.0554,0.0231,-0.0339,0.0132,0.0084
-0.0023,-0.0502,-0.1103,-0.0013,0.0138,0.0021
0,0.0528,0.0164,0.003,0.0125,0.0042
0.1288,0.0441,0.1002,-0.0472,0.0115,0.0021
-0.0351,-0.0265,-0.0093,-0.0591,0.0089,0.0041
0,-0.0163,-0.0066,0.074,0.0097,0.0021
0,-0.0512,-0.0679,-0.023,0.0112,0
0.0299,-0.006,-0.051,0.036,0.0107,0.0041
0.0268,0.0414,0.0611,0.0348,0.0111,0.0102
0.0158,-0.0288,-0.0131,0.0023,0.0108,0.0121
-0.0167,-0.0174,-0.0807,-0.031,0.01,0.004
0,-0.0215,-0.0117,0.0213,0.0112,0.002
0.0899,0.1267,6e-04,-0.0023,0.0091,0.002
0.0379,0.011,-0.0063,-0.0301,0.0065,0.004
0,0.1126,0.0043,-0.0058,0.0065,-0.002
0.059,0.0438,0.0744,0.0384,0.0068,-0.004
0.0187,0.0173,0.0739,-0.0115,0.0068,0.002
0.001,0.0348,-0.0085,0.0069,0.0069,0
0.0267,0.026,0.0271,-0.0116,0.0069,0
0.0039,0.0365,0.0376,0.0631,0.0068,0.0079
0,0.0758,0.0542,0.0097,0.0074,0.0059
0.0143,-0.0052,-0.0047,0.0052,0.007,0.002
6e-04,0.0382,0.0225,0.0126,0.0073,0.0059
0,-0.0313,0.0025,0.034,0.0078,0.0019
-0.0174,0.017,-0.016,0.0172,0.0079,0.0058
0.0307,0.0136,0.0376,-0.0279,0.0079,0.0019
0.0034,-0.0134,-6e-04,-0.0124,0.0076,0.0019
0.0113,0.0233,0.0234,9e-04,0.0075,0.0019
0,-0.0061,0.0401,0.048,0.0076,0.0057
0.0224,-0.0065,0.043,0.0104,0.0077,0.0038
-0.0056,-0.0328,0.0092,0.0048,0.0077,0.0019
0,0.0171,0.0861,0.0468,0.0079,0.0057
-0.0097,0.0069,-0.0166,-0.0114,0.0084,0.0019
-0.0326,-0.0534,-0.1127,0.0282,0.0083,0.0038
0,0.0221,-9e-04,-0.0231,0.0085,0.0038
0.0533,-0.0143,-0.0681,-0.072,0.0085,0.0037
0.0166,0.1125,0.0784,0.0412,0.0089,0.0056
0,2e-04,-0.0086,-0.0079,0.0092,0.0019
0.062,0.0026,0.0247,0.0046,0.0089,0
0.0189,-0.0101,0.0041,0.0038,0.0081,0
0.0131,0.0253,0.02,-0.0203,0.0073,0.0019
0.0222,0.0768,0.0223,0.0125,0.0066,0.0055
-0.0211,0.0137,-0.0056,-0.0133,0.0066,0.0037
0,0.0018,0.0723,0.0414,0.0072,0.0037
0.0401,-0.0032,-0.0031,-0.0334,0.0072,0.0036
0.0503,0.0615,0.041,-1e-04,0.0067,0.0036
0,0.0159,0.0253,-0.03,0.0062,0.0018
0.0075,-0.0026,0.0494,-0.023,0.006,0.0018
0,-0.0061,0.0314,0.0148,0.0062,0.0036
0.0243,-0.0321,0.0556,0.0538,0.0061,0.0036
0.0207,0.0447,0.064,0.0675,0.0059,0.0018
0,0.0716,0.0397,0.0171,0.0062,0.0036
0.0536,0.0467,0.0455,-0.0184,0.0062,0.0018
0.0046,0.0044,0.0247,-0.0998,0.006,-0.0018
0.0392,0.0761,0.1,-0.0361,0.006,-0.0054
0.0309,0.0554,0.1235,-0.0022,0.0061,-0.0018
0.0037,-0.0124,0.0617,0.0533,0.0055,0.0036
0,0.0549,-0.0463,-0.039,0.0052,0.0053
0.0062,0.0166,0.0641,0.0364,0.0054,0
0.0091,-0.0569,0.0583,0.0096,0.0052,0.0018
0,0.0748,0.0899,0.0791,0.005,0.0035
0.014,-0.0822,-0.0101,-0.0259,0.0045,0.0018
0.0139,0.0556,-0.0713,0.0104,0.0045,0
0,0.0256,0.0547,0.0294,0.0044,0.0018
0.0183,-0.0264,0.0506,-0.0073,0.0046,0.0053
0,0.1343,0.0962,0.0541,0.0048,0.0035
0,0.0413,0.0293,-0.0639,0.0047,0.0052
0.0133,0.0272,0.0759,0.0747,0.0047,0.0052
-0.0269,-0.0088,0.0958,0.0478,0.0048,0.0035
0,0.0103,2e-04,0.0441,0.0047,0.0034
0.0097,0.0499,-0.0327,0.0345,0.0049,0.0034
-0.0017,0.0498,-0.0016,0.0427,0.0049,0.0051
-0.0062,0.0385,0.0699,-0.0206,0.0051,0.0051
-0.0229,-0.022,-0.0158,0.0073,0.0054,0.0017
0,-0.2152,-0.1627,0.0104,0.0056,0.0017
0.0446,-0.0819,0.01,-2e-04,0.0044,0
0.012,0.0738,0.0291,-0.0286,0.0049,0.0017
0,0.0427,0.0178,0.0259,0.005,0.0034
0.0467,0.0445,0.0627,-0.0111,0.0049,0.005
-0.0102,-0.0319,0.0581,0.048,0.0048,0.005
0,0.0109,0.0145,0.0301,0.0049,0.0033
-0.0135,0.0086,-0.0329,0.0341,0.0051,0.0033
0.0237,0.0439,-0.0269,-0.0287,0.0055,0.0049
0,-0.0038,0.0306,0.0059,0.0056,0.0033
-0.002,-0.0351,-0.0693,-0.0068,0.006,0.0065
0.0223,0.0409,0.042,-0.0281,0.0062,0.0033
0.0183,0.0271,0.079,0.0461,0.0063,0.0016
-0.0119,-0.0144,0.0564,0.0544,0.0064,0.0016
0,0.0171,0.0057,0.0681,0.0069,0.0048
0.0157,0.0682,0.0175,0.0041,0.007,0.0048
-0.0075,-0.0255,0.0053,0.0412,0.0072,0.0048
0.0042,0.0228,-0.0198,0.0632,0.0074,0.0063
0.019,0.0494,0.0094,0.0308,0.0078,0.0063
0.0268,0.0389,-0.0573,-0.013,0.0074,0.0016
0.0306,-0.0057,-0.0169,0.0338,0.0073,0.0031
0.0188,0.0828,0.1117,-0.0289,0.0069,0.0016
-0.0159,0.0192,-0.0469,0.0336,0.0069,0.0031
0.0051,-0.0041,0.0437,0.0562,0.0069,0.0047
0.0236,-0.0238,-0.0416,-0.0071,0.0068,0.0031
0.0095,0.02,0.048,0.0159,0.0065,0.0015
0.0024,0.0235,0.0358,0.0837,0.0065,0.0092
-0.0122,-0.072,-0.0384,-0.0044,0.0066,0.0046
0.0032,0.0127,-0.0748,-0.0032,0.0066,0.0061
0.001,0.0258,-0.116,0.0072,0.0067,0.0015
-0.0092,-0.0256,-0.0077,-0.0106,0.0068,0.003
0.0274,0.0889,0.1027,-0.0074,0.0067,0.0045
0.0155,-0.0068,-0.0086,-0.0158,0.0066,0.0045
0.0143,-0.0032,0.0141,0.0762,0.0067,0.0089
-0.0132,-0.0994,-0.1072,0.1423,0.0065,0.0074
0.0082,-0.0512,-0.1615,0.1866,0.0064,0.0073
0.0138,-0.0043,0.1351,-0.0644,0.0063,0.0015
0.0211,0.0607,-0.0624,-0.0702,0.0062,0
0.0162,0.0271,0.0163,-0.0201,0.0061,0.0058
0.0115,0.0417,0.0316,-0.1036,0.0056,0.0014
0.0072,0.0668,0.0971,0.0137,0.0053,0.0014
0.0064,0.0236,-0.0636,0.0363,0.0051,0.0014
0.0116,0.0024,0.01,0.0221,0.005,0.0029
0.0062,0.0413,0.0106,-5e-04,0.0049,0.0029
-0.0011,-0.048,-0.079,-0.0242,0.0047,0.0014
0.0136,0.0445,0.0471,0.0486,0.0048,0.0029
0.0212,0.0231,-0.0205,0.0152,0.0048,0.0057
0.0201,-0.017,0.0536,0.0078,0.0046,0.0014
0.0108,0.0133,0.0142,0.0279,0.0044,0.0028
0.0089,-0.042,-0.0487,-0.0421,0.0043,0
0.0294,0.1026,0.0494,-0.0761,0.0038,0.0014
-0.0137,-0.019,-0.0215,0.0268,0.0033,0.0042
0.0057,0.0128,-0.0368,-0.0111,0.0033,0.0042
-0.0049,-0.0198,-0.0704,0.0111,0.0034,0.0014
0.0078,0.0285,0.005,0.0291,0.0034,0.0014
0.0182,0.0049,0.063,0.0262,0.0031,0.0042
0.0141,-0.0151,-0.0494,-0.0055,0.0032,0.0014
0.0197,0.0392,-0.0259,-0.0141,0.0031,0.0028
0.0109,-0.0209,0.0593,0.001,0.0027,0.0041
0.0121,0.0116,-0.0198,0.0113,0.0027,0.0028
-0.0129,0.0034,-0.055,-0.0224,0.0025,0.0014
-1e-04,0.0329,0.0096,-0.013,0.0025,0
0.0153,0.0121,0.0054,0.0023,0.0028,0.0041
0.0188,0.0083,2e-04,0.012,0.0027,0.0041
0.0169,0.0135,0.0296,0.0115,0.0025,0.0027
0.0048,0.0207,0.0804,0.0204,0.0025,0.0027
0.0072,-0.0248,0.0869,-0.0108,0.0025,0.0014
8e-04,0.026,0.0209,-0.0286,0.0025,0.0014
0.0182,0.0029,-0.0156,-0.0323,0.0026,0
0.0057,-0.004,0.034,-0.0087,0.0026,0.0027
0.0177,0.0366,0.0514,0.0082,0.0026,0.0027
0.0037,-0.0077,-0.0228,0.0025,0.0026,0.004
0.0041,0.0203,0.0301,-0.0373,0.0025,0.0013
-0.0086,-0.0096,-0.0955,-0.0528,0.0026,0
0.0055,0.012,0.0675,-0.0192,0.0027,0.0027
0.0131,0.0329,0.0781,0.0753,0.0026,0.0027
-0.0184,-0.0279,-0.0026,-0.0222,0.0025,0.004
-0.0232,-0.0456,-0.0448,-0.0121,0.0029,0.0013
-0.009,0.0127,0.0409,0.0255,0.003,0
2e-04,0.0162,-0.0056,0.0147,0.0033,0.004
-0.0019,-0.0251,0.0142,0.024,0.0036,0.0026
0.0178,0.0318,0.0097,0.0169,0.0036,0.0039
0.0018,0.0394,0.0233,-0.0723,0.0038,0.0026
-0.0143,-0.0251,-0.0323,-0.0095,0.0039,0.0013
-9e-04,0.022,0.0324,0.0045,0.004,0.0013
-0.0023,-0.0378,-0.0502,-0.0338,0.0043,0
0.0074,0.0146,0.0065,0.0327,0.0045,0.0039
0.0192,0.0253,-0.0397,-0.0255,0.0047,0.0039
0.0226,0.0375,-0.0026,0.008,0.0049,0.0026
0.0066,0.0287,0.059,0.0134,0.0049,0.0039
0.0133,0.0286,0.0365,0.0297,0.0049,0.0013
0.0381,0.0384,-0.0118,-0.0085,0.0049,0.0026
